"Notes"	"State"	"State Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	332	818032	40.6
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	181	1015988	17.8
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	300	1052327	28.5
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	859	1027873	83.6
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	1209	1057889	114.3
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	1164	1040584	111.9
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	1145	984507	116.3
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	1367	968375	141.2
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	1917	998581	192.0
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	2905	1043588	278.4
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	4144	1009728	410.4
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	5301	866465	611.8
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	5883	643328	914.5
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	6294	431473	1458.7
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	6854	281742	2432.7
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	7246	183567	3947.3
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	7387	112693	6555.0
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	6183	Not Applicable	Not Applicable
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	3867	Not Applicable	Not Applicable
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	1341	Not Applicable	Not Applicable
	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	290	Not Applicable	Not Applicable
	"Arizona"	"04"	"Drug-induced causes"	"D"	"< 1 year"	"1"	18	1740660	Unreliable
	"Arizona"	"04"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	14	6927238	Unreliable
	"Arizona"	"04"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	21	8680769	0.2
	"Arizona"	"04"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	522	8626691	6.1
	"Arizona"	"04"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	1377	8765548	15.7
	"Arizona"	"04"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	1747	8676341	20.1
	"Arizona"	"04"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	1988	8267361	24.0
	"Arizona"	"04"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	2286	8199350	27.9
	"Arizona"	"04"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	2639	8151316	32.4
	"Arizona"	"04"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	2952	7961501	37.1
	"Arizona"	"04"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	2714	7646413	35.5
	"Arizona"	"04"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	2048	7068568	29.0
	"Arizona"	"04"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	1127	6303066	17.9
	"Arizona"	"04"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	585	5522570	10.6
	"Arizona"	"04"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	298	4498018	6.6
	"Arizona"	"04"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	230	3423069	6.7
	"Arizona"	"04"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	144	2347722	6.1
	"Arizona"	"04"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	96	Not Applicable	Not Applicable
	"Arizona"	"04"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	52	Not Applicable	Not Applicable
	"Arizona"	"04"	"Drug-induced causes"	"D"	"95-99 years"	"95-99"	14	Not Applicable	Not Applicable
	"Arizona"	"04"	"Drug-induced causes"	"D"	"Not Stated"	"NS"	31	Not Applicable	Not Applicable
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	50	8626691	0.6
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	96	8765548	1.1
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	295	8676341	3.4
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	564	8267361	6.8
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	970	8199350	11.8
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	1526	8151316	18.7
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	2295	7961501	28.8
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	2723	7646413	35.6
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	2675	7068568	37.8
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	2241	6303066	35.6
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	1616	5522570	29.3
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	995	4498018	22.1
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	556	3423069	16.2
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	322	2347722	13.7
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	146	Not Applicable	Not Applicable
	"Arizona"	"04"	"Alcohol-induced causes"	"A"	"90-94 years"	"90-94"	32	Not Applicable	Not Applicable
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	11055	1740660	635.1
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	2398	6927238	34.6
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	1196	8567346	14.0
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	1543	8680769	17.8
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	5125	8626691	59.4
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	7771	8765548	88.7
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	7831	8676341	90.3
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	8507	8267361	102.9
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	10624	8199350	129.6
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	15079	8151316	185.0
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	22803	7961501	286.4
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	33225	7646413	434.5
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	45924	7068568	649.7
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	60367	6303066	957.7
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	75805	5522570	1372.6
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	94444	4498018	2099.7
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	115866	3423069	3384.9
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	134361	2347722	5723.0
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	131794	Not Applicable	Not Applicable
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	90067	Not Applicable	Not Applicable
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	34266	Not Applicable	Not Applicable
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	6509	Not Applicable	Not Applicable
	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	557	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"< 1 year"	"1"	15	760410	Unreliable
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	14	3045785	Unreliable
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	17	3925984	Unreliable
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	161	3969114	4.1
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	468	3973054	11.8
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	607	3784885	16.0
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	673	3646574	18.5
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	830	3717839	22.3
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	883	3799043	23.2
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	892	3845355	23.2
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	687	3787858	18.1
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	509	3516511	14.5
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	261	3082957	8.5
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	146	2610374	5.6
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	69	2083638	3.3
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	61	1600066	3.8
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	63	1124961	5.6
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	13	3969114	Unreliable
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	21	3973054	0.5
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	56	3784885	1.5
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	94	3646574	2.6
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	183	3717839	4.9
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"40-44 years"	"40-44"	313	3799043	8.2
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"45-49 years"	"45-49"	519	3845355	13.5
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"50-54 years"	"50-54"	642	3787858	16.9
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"55-59 years"	"55-59"	650	3516511	18.5
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"60-64 years "	"60-64"	542	3082957	17.6
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"65-69 years"	"65-69"	330	2610374	12.6
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"70-74 years"	"70-74"	159	2083638	7.6
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"75-79 years"	"75-79"	102	1600066	6.4
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"80-84 years"	"80-84"	56	1124961	5.0
	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	"85-89 years"	"85-89"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"< 1 year"	"1"	6046	760410	795.1
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"1-4 years"	"1-4"	1243	3045785	40.8
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"5-9 years"	"5-9"	726	3838489	18.9
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"10-14 years"	"10-14"	887	3925984	22.6
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"15-19 years"	"15-19"	2983	3969114	75.2
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"20-24 years"	"20-24"	4317	3973054	108.7
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"25-29 years"	"25-29"	4563	3784885	120.6
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"30-34 years"	"30-34"	5318	3646574	145.8
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"35-39 years"	"35-39"	7020	3717839	188.8
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"40-44 years"	"40-44"	10554	3799043	277.8
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"45-49 years"	"45-49"	16157	3845355	420.2
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"50-54 years"	"50-54"	24192	3787858	638.7
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"55-59 years"	"55-59"	33101	3516511	941.3
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"60-64 years "	"60-64"	41779	3082957	1355.2
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"65-69 years"	"65-69"	50762	2610374	1944.6
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"70-74 years"	"70-74"	60563	2083638	2906.6
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"75-79 years"	"75-79"	71700	1600066	4481.1
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"80-84 years"	"80-84"	81189	1124961	7217.1
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"85-89 years"	"85-89"	76890	Not Applicable	Not Applicable
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"90-94 years"	"90-94"	52742	Not Applicable	Not Applicable
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"95-99 years"	"95-99"	20632	Not Applicable	Not Applicable
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"100+ years"	"100+"	4393	Not Applicable	Not Applicable
	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	"Not Stated"	"NS"	15	Not Applicable	Not Applicable
	"California"	"06"	"Drug-induced causes"	"D"	"< 1 year"	"1"	57	10129433	0.6
	"California"	"06"	"Drug-induced causes"	"D"	"1-4 years"	"1-4"	44	40201157	0.1
	"California"	"06"	"Drug-induced causes"	"D"	"5-9 years"	"5-9"	15	50679686	Unreliable
	"California"	"06"	"Drug-induced causes"	"D"	"10-14 years"	"10-14"	70	52390982	0.1
	"California"	"06"	"Drug-induced causes"	"D"	"15-19 years"	"15-19"	1178	52771591	2.2
	"California"	"06"	"Drug-induced causes"	"D"	"20-24 years"	"20-24"	3946	53939163	7.3
	"California"	"06"	"Drug-induced causes"	"D"	"25-29 years"	"25-29"	5424	55009532	9.9
	"California"	"06"	"Drug-induced causes"	"D"	"30-34 years"	"30-34"	6423	53746405	12.0
	"California"	"06"	"Drug-induced causes"	"D"	"35-39 years"	"35-39"	7880	53321218	14.8
	"California"	"06"	"Drug-induced causes"	"D"	"40-44 years"	"40-44"	10012	52951622	18.9
	"California"	"06"	"Drug-induced causes"	"D"	"45-49 years"	"45-49"	12412	51474566	24.1
	"California"	"06"	"Drug-induced causes"	"D"	"50-54 years"	"50-54"	12416	48038407	25.8
	"California"	"06"	"Drug-induced causes"	"D"	"55-59 years"	"55-59"	9903	41761099	23.7
	"California"	"06"	"Drug-induced causes"	"D"	"60-64 years "	"60-64"	5900	33761727	17.5
	"California"	"06"	"Drug-induced causes"	"D"	"65-69 years"	"65-69"	2835	26496878	10.7
	"California"	"06"	"Drug-induced causes"	"D"	"70-74 years"	"70-74"	1303	20587160	6.3
	"California"	"06"	"Drug-induced causes"	"D"	"75-79 years"	"75-79"	767	16172070	4.7
	"California"	"06"	"Drug-induced causes"	"D"	"80-84 years"	"80-84"	552	11896531	4.6
	"California"	"06"	"Drug-induced causes"	"D"	"85-89 years"	"85-89"	408	Not Applicable	Not Applicable
	"California"	"06"	"Drug-induced causes"	"D"	"90-94 years"	"90-94"	176	Not Applicable	Not Applicable
	"California"	"06"	"Drug-induced causes"	"D"	"95-99 years"	"95-99"	67	Not Applicable	Not Applicable
	"California"	"06"	"Drug-induced causes"	"D"	"Not Stated"	"NS"	28	Not Applicable	Not Applicable
	"California"	"06"	"Alcohol-induced causes"	"A"	"15-19 years"	"15-19"	91	52771591	0.2
	"California"	"06"	"Alcohol-induced causes"	"A"	"20-24 years"	"20-24"	300	53939163	0.6
	"California"	"06"	"Alcohol-induced causes"	"A"	"25-29 years"	"25-29"	908	55009532	1.7
	"California"	"06"	"Alcohol-induced causes"	"A"	"30-34 years"	"30-34"	2054	53746405	3.8
	"California"	"06"	"Alcohol-induced causes"	"A"	"35-39 years"	"35-39"	3841	53321218	7.2
